OfferDetails,Products
"Save $4.00 on SHEBA® Cat Food When you buy ONE (1) SHEBA® Perfect Portions™ Premium Cat Food, any variety  (12ct. Multipack)","['sheba® cat food', 'perfect portions™ premium cat food']"
"Save $1.50 on Huggies®‎ Little Swimmers®‎ Disposable Swimpants When you buy ONE (1) package of Huggies®‎ Little Swimmers®‎ Disposable Swimpants, any variety (10 ct. or larger)","['disposable swimpants', 'disposable swimpants']"
"Save $0.50 on IWON Organics Sticks when you buy ONE (1) IWON Organic Stix, any variety (5oz).","['iwon organics sticks', 'iwon organic stix']"
"Save $1.25 on 2 Q Mixers When you buy TWO (2) Q Mixers, any variety","['q mixers', 'q mixers']"
Save $2.00 on Bissell Clean &amp; Refresh Machine Formula When you buy ONE (1) Bissell Clean &amp; Refresh Machine Formula,"['refresh machine formula', 'refresh machine formula']"
Save $3.00 on 2 Head &amp; Shoulders Products when you buy TWO (2) Head &amp; Shoulders Supreme Shampoo or Conditioner Products (9.4-11.8oz). [Excludes trial/travel size].,"['shoulders products', 'supreme shampoo', 'conditioner products', '[ / ]']"
Save $1.00 on  Sensible Portions Screamin' Hot Veggie Straws when you buy ONE (1) Sensible Portions Screamin' Hot Veggie Straw,"['sensible portions screamin', 'hot veggie straws', 'sensible portions screamin', 'hot veggie straw']"
"Save $1.00 on Vital Proteins Collagen Water OR Collagen Bar when you buy one (1) Vital Proteins Collagen Water OR Collagen Bar, any variety or size","['vital proteins collagen water', 'vital proteins collagen water']"
Save $0.50 on ZZZQUIL ZzzQuil Products when you buy ONE (1) Vicks ZzzQuil Product. Excludes PURE Zzzs and trial/travel size.,"['zzzquil zzzquil products', 'vicks zzzquil product', 'pure zzzs']"
Save $1.50 on 2 CLIF Granola when you buy TWO (2) CLIF Granola,"['clif granola', 'clif granola']"
"Buy 1 Chef's Cut Real Jerky, Get 1 Chef's Cut Jerky Snack Stick Free Buy  ONE (1) Chef's Cut Real Jerky, any variety (2.5oz bag), Get ONE (1) Chef's Cut Jerky Snack Stick, any variety (1oz) Free","[""chef 's"", 'real jerky', ""chef 's"", 'jerky snack', ""chef 's"", 'real jerky', '2.5oz bag', ""chef 's"", 'jerky snack']"
Save $3.00 when you buy ONE (1) Mastercard® or Visa® gift card. * Restrictions Apply.  See Store for Details. (redeem 5/20/2020-6/9/2020),"['visa® gift card', '* restrictions', 'redeem 5/20/2020-6/9/2020']"
"Save $1.00 on 4505 Meats Chicharrones When you buy ONE (1) 4505 Meats Chicharrones, any variety (2.5 oz).","['meats chicharrones', 'meats chicharrones']"
"Save $1 on Slimfast when you buy any ONE (1) Original or Advanced RTD or Powder, any variety or size",[]
"Save $1.00 on Craisins® item when you buy ONE Craisins® item, any variety (20-24oz)","['craisins® item', 'craisins® item']"
"Save $5.00 on Osteo Bi-Flex® Products. when you buy ONE (1) Osteo Bi-Flex® product, any variety (28ct or larger)","['osteo bi-flex® products', 'osteo bi-flex® product']"
"Save $1.50 on 2 Blue Diamond Nut Thins When you buy TWO (2) Blue Diamond Nut Thin Crackers, any variety (4.25 oz)","['blue diamond nut thins', 'blue diamond nut', 'thin crackers']"
"Save $2.00 on ZonePerfect® Keto products when you buy ONE (1) ZonePerfect® Keto Powder, 4-count Shake or 5-count Bar","['zoneperfect® keto products', 'zoneperfect® keto powder']"
Save $4.00 on Schick Men Razors When you buy ONE (1) Schick Hydro® or Schick® Quattro® Titanium* Razor or Refill. Excludes Schick® Disposables and Women's Razor or Refill coated blades,"['schick men razors', 'schick hydro®', 'schick® quattro® titanium* razor', 'schick® disposables', ""women 's razor""]"
"Save $1.00 on Kodiak Cakes Bear Bites When you buy ONE (1) Kodiak Cakes Bear Bites, any variety or size","['kodiak cakes', 'kodiak cakes']"
"Save $5.00 on 1 bag of NUTRO™ WHOLESOME ESSENTIALS™ Cat Food When you buy ONE (1) bag of NUTRO™ WHOLESOME ESSENTIALS™ Dry Cat Food, any variety or size","['nutro™ wholesome essentials™ cat food', 'nutro™ wholesome essentials™ dry cat food']"
Save $3.00 on Gillette &amp; Venus Blade Refills When you buy ONE (1) Gillette or Venus Blade Refill (4CT or larger) (Excludes Gillette3 4CT &amp; Gillette 5 4CT),"['venus blade refills', 'venus blade refill', 'gillette3 4ct']"
"Buy 1  JUST Water, Get 1 Free Buy ONE (1) JUST Water product, any variety or size, Get your SECOND (2nd) Free",['water product']
Save $2.00 on Gillette &amp; Venus Razors When you buy ONE (1) Gillette or Venus Razor (excludes Disposable Razors &amp; Mach3 1UP Razor),"['venus razors', 'venus razor', 'disposable razors', 'mach3 1up razor']"
"Buy 4 Beech-Nut Natural Jars, Get 1 Beech-Nut Natural Pouch FREE Buy FOUR (4) Beech-Nut Natural Jars, any variety or size,Get ONE (1) Beech-Nut Natural Pouch, any variety or size Free.","['natural jars', 'natural pouch', 'natural jars', 'natural pouch']"
Save $0.50 on CREATIVE ROOTS beverage When you buy ONE (1) CREATIVE ROOTS beverage,"['creative roots beverage', 'creative roots beverage']"
Save $1.00 on 2 Louis Kemp When you buy TWO (2) Louis Kemp Alaskan Delights (12oz) or Crab Delights (16oz),"['louis kemp', 'louis kemp alaskan delights', 'crab delights']"
Save $0.30 on Simple Truth Organic Snack Crackers When you buy ONE (1) Simple Truth Organic Snack Crackers (8 oz),"['simple truth organic snack crackers', 'simple truth organic snack crackers']"
"Save $0.55 on OFF!® Products when you buy ONE (1) OFF!® Product, any variety. Excludes Club Packs, Twin Packs, 2 oz. and 2.5oz. OFF!® Products.","['® products', '® product', '® products']"
Save $0.75 on Simple Truth Fig &amp; Thyme Crisp Crackers When you buy ONE (1) Simple Truth Fig &amp; Thyme Crisp Crackers (5.3 oz),"['simple truth fig', 'thyme crisp crackers', 'simple truth fig', 'thyme crisp crackers']"
Save $3.00 on Claritin® Syrup when you buy ONE (1) Non-Drowsy Children's Claritin® Syrup (4oz or larger),"['claritin® syrup', ""non-drowsy children 's claritin® syrup""]"
"Save $3.00 on Similac® When you buy ONE (1) Similac®, (1.38 lb. or larger powder)",[]
"Save $1.00 on Luvo When you buy ONE (1) Performance Kitchen Meal, any variety (8.25 - 10.25 oz).",['performance kitchen meal']
Save 20% off Fresh Cut Lilies When you buy ONE (1) Bunch of Fresh Cut Lilies (any stem count).,[]
"Save $10.00 on 2 Enfamil Powder When you buy TWO units of Enfamil Infant Formula powder, any variety  (19.5 oz or larger)","['enfamil powder', 'enfamil infant formula powder']"
"Save $1.00 on Babyganics Sunscreen or Deet Free Bug Spray when you buy ONE (1) Babyganics Sunscreen or Deet Free Bug Spray, any variety","['babyganics sunscreen', 'free bug spray', 'babyganics sunscreen', 'free bug spray']"
Save $2.00 on Glucerna® When you buy ONE (1) Glucerna® multi-pack shake,['glucerna® multi-pack']
Save $2.00 on PediaSure® When you buy ONE (1) PediaSure® product,['pediasure® product']
Save $0.55 on Raid® Products when you buy ONE (1) Raid® Essential Oils Product. Excludes Raid® Club Packs and Twin Packs.,"['raid® products', 'essential oils product', 'raid® club']"
"Save $3.00 on Bare Repulic Products when you buy ONE (1) Bare Republic Sun Product, any variety","['bare repulic products', 'bare republic sun product']"
"Save $1.00 on  2 Cheerwine when you buy Two (2) Cheerwine Glass Packages, any variety (4PK )",['cheerwine glass packages']
"Save $1.00 on MadeGood When you buy ONE (1) MadeGood  Granola Bar or Mini Item, any variety or size","['madegood granola', 'mini item']"
"Save $1.50 on Nutiva Red Palm Oil or Shortening when you buy ONE (1) Nutiva Red Palm Oil or Shortening, any variety or size","['red palm oil', 'red palm oil']"
Save $1.00 on Gardein® Ultimate Burger When you buy ONE (1) Gardein® Ultimate Burger Frozen (2 Pack),"['ultimate burger', 'ultimate burger frozen']"
Save $1.00 on Gardein® Breakfast Bowl When you buy any ONE (1) Gardein® Breakfast Bowl (8.5 oz),"['gardein® breakfast bowl', 'gardein® breakfast bowl']"
Save $1.50 on VISINE® product when you buy ONE (1) VISINE® product. Excludes trial/travel sizes.,"['visine® product', 'visine® product', '/ s']"
"Save $1.00 on YumEarth When you buy ONE (1)  YumEarth Organic Lollipops, Straberry or Black Licorice","['yumearth organic lollipops', 'black licorice']"
"Save $2.00 on Earth's Best Chicken Fries When you buy ONE (1) bag of Earth's Best Chicken Fries, any variety or size","[""earth 's"", 'chicken fries', ""earth 's"", 'chicken fries']"
"Save $1.50 on NUK cups when you buy ONE (1) Nuk Cup item, any variety or size","['nuk cups', 'nuk cup item']"
Save $2.00 on 2 Head &amp; Shoulders and Pantene Products when you buy TWO (2) Head &amp; Shoulders Royal Oils or Pantene Gold Series Products (2.6-15.2oz). [Excludes trial/travel size].,"['pantene products', 'royal oils', 'gold series products', '[ / ]']"
"Save $1.00 on BodyMark by BIC® Tattoo Marker when you buy ONE (1) BodyMark by BIC® Tattoo Marker, any variety (1-pk)","['bic® tattoo marker', 'bic® tattoo marker']"
"Save $3.00 on BodyMark™ by BIC® Tattoo Marker when you buy ONE (1) BodyMark™ by BIC® Tattoo Marker, any variety (3-pk)","['bic® tattoo marker', 'bic® tattoo marker']"
"Save $8.00 on 2 Refresh Eye Drops When you buy TWO (2) packages of any Refresh Eye Drop, any variety or size. Excluding Refresh Repair.","['refresh eye drops', 'refresh eye drop', 'refresh repair']"
"Save $5.00 on Systane When you buy ONE (1) Systane ICAP Vitamins, any variety or size",['systane icap vitamins']
"Save $3.00 on Vital Proteins Powder Canister when you buy ONE (1) Vital Proteins Powder Canister, any variety or size","['vital proteins powder canister', 'vital proteins powder canister']"
"Save $1.00 on Giovanni Eco Chic or 2Chic Shampoo or Conditioner When you buy ONE (1) Giovanni Eco Chic or 2Chic Shampoo or Conditioner, any variety (8.5 oz). Excludes Trial Size.","['giovanni eco', '2chic shampoo', 'giovanni eco', '2chic shampoo']"
"Save $0.75 on TAJIN Clasico Seasonings When you buy ONE (1) TAJIN Clasico Seasonings, any variety (4.23 oz or larger)","['tajin clasico seasonings', 'tajin clasico seasonings']"
"Save $5.00 on Nutiva MCT Powder product when you buy ONE (1) Nutiva MCT Powder product, any variety or size","['nutiva mct powder product', 'nutiva mct powder product']"
"Save $2.00 on Simple Truth Mulit-Vitamin Gummies When you buy ONE (1) Simple Truth Multi-Vitamin Gummies or Hair Skin &amp; Nails Gummies, any variety (100 ct)","['simple truth mulit-vitamin gummies', 'simple truth multi-vitamin gummies', 'hair skin', 'nails gummies']"
"Save  $4.00 on Nutiva MCT Oil Product when you buy ONE (1) Nutiva MCT Oil Product, any variety or size","['nutiva mct oil product', 'nutiva mct oil product']"
"Save $0.75 on Simple Truth Organic Spice Rubs When you buy ONE (1) Simple Truth Organic Spice Rubs, any variety (3.5oz)","['simple truth organic', 'simple truth organic']"
Save $1.00 on Biofreeze product When you buy Biofreeze Pain Relieving Product. Excluding travel sizes.,"['biofreeze product', 'biofreeze pain']"
"Earn 2x Fuel Points Download the digital coupon to earn 2x fuel points* when you shop on Thursdays, Fridays, Saturdays and Sundays starting May 21st through June 28th.","['2x fuel points download', 'digital coupon', '2x fuel points*']"
"Save $2.00 on Bronkaid product When you buy any ONE (1) Bronkaid® product, any variety or size","['bronkaid product', 'bronkaid® product']"
"Save $1.00 on Kellogg's® Jumbo Snax When you buy any ONE (1) Kellogg's® Jumbo Snax (5.4 oz. or Larger, Any Flavor)","[""kellogg's® jumbo snax"", ""kellogg's® jumbo snax""]"
"Save $5.00 on Non-Drowsy Claritin-D® Products When you buy ONE (1) Non-Drowsy Claritin-D® product, any variety (15 count or larger)","['non-drowsy claritin-d® products', 'non-drowsy claritin-d® product']"
Save $5.00 on PATADAY® Eye Allergy Itch Relief Drops When you buy ONE (1) PATADAY® Eye Allergy Itch Relief Drops.,"['pataday® eye allergy itch relief drops', 'pataday® eye allergy itch relief drops']"
"Save $1.00 on Milton's Gluten Free Cracker When you buy ONE (1) Milton's Gluten Free Crackers, any variety (4.5oz.)","[""milton 's gluten"", 'free cracker', ""milton 's gluten"", 'free crackers']"
"Save $0.50 on Shredded or Grated Sartori Cheese Deli Bags When you buy ONE (1) Shredded or Grated Sartori Cheese Deli Bag, any variety (8 oz.)","['sartori cheese deli bags', 'sartori cheese deli bag']"
"Save $1.00 on Ripple Half &amp; Half product When you buy ONE (1) Ripple Half &amp;Half product, any variety",[]
"Save $0.70 on Simple Truth Hummus When you buy ONE (1) Simple Truth Hummus, any variety (8 OZ)","['simple truth hummus', 'simple truth hummus']"
"Save $2.00 on Chock full o' Nuts Coffee When you buy ONE (1) can of Chock full o' Nuts Coffee, any variety (23oz - 26oz)","['full o', 'nuts coffee', 'full o', 'nuts coffee']"
Save $1.00 on Paper Check Cashing Fee when you cash a tax refund or government paper check at Money Services.,"['paper check', 'tax refund', 'government paper check', 'money services']"
Save $1.00 on Simple Truth Emerge Plant Based Burger Patties When you buy ONE (1) Simple Truth Emerge Plant Based Patties (16 oz.),"['simple truth', 'burger patties', 'simple truth']"
Save $1.50 on Simple Truth Emerge Plant Based Burger Grinds When you buy ONE (1) Simple Truth Emerge Plant Based Grinds (16 oz.),"['simple truth', 'burger grinds', 'simple truth']"
"Save $1.00 on Simple Truth Organic Parmesan Cheese When you buy ONE (1) Simple Truth Organic Parmesan Cheese Wedge, in Specialty Cheese, located in the Deli Dept.","['simple truth organic parmesan cheese', 'simple truth organic parmesan cheese wedge', 'specialty cheese', 'deli dept']"
"Save $5.00 on Refresh Eye Drops When you buy ONE (1) Refresh Relieva or Refresh Optive Mega-3 Eye Drop, any size","['refresh eye drops', 'refresh relieva', 'refresh optive mega-3 eye drop']"
BUY 2 Buy 2 for $10.00,[]
Save $2.00 on one (1) 18 lb - 20 lb bag of Purina® Dog Chow® or Purina® Puppy Chow® Dry Food,"['lb bag', 'purina® dog chow®', 'purina® puppy chow® dry food']"
$1.00 OFF Tropic Sun SunScreen Lotion 6 oz. or Spray 5.5-6 oz. - When you clip the Family Dollar Smart Coupon.,"['tropic sun sunscreen lotion', 'spray 5.5-6 oz', 'family dollar smart coupon']"
$1.00 OFF Family Pet Meaty Cuts Dry Dog Food 28 lbs. - When you clip the Family Dollar Smart Coupon.,"['family pet meaty cuts dry dog food', 'family dollar smart coupon']"
"Save $2.00 off ONE (1) Purex® Liquid 128-150oz.,
or 4-in-1 Pacs (45ct)","['purex® liquid 128-150oz.', '4-in-1 pacs']"
Save $2.00 off ONE (1) all® liquid laundry detergent (88oz.) or mighty pacs® (39ct.),"['all® liquid laundry detergent', 'mighty pacs®']"
"Save $1.00 off ONE (1) Snuggle® Liquid Fabric Softener 48.6-50oz., Sheets 105-120 ct. or Scent Shakes™ 9 oz.","['snuggle® liquid fabric softener 48.6-50oz.', 'scent shakes™']"
"Save $1.00 off ONE (1) all® Liquid 54oz., or mighty pacs® 19ct.","['all® liquid 54oz.', 'mighty pacs® 19ct']"
"Save $1.00 on Huggies Pull-Ups (Size 2T-5T, 17-23ct.), Little Snugglers  &  Little Movers (Size Newborn-6, 16-32 ct.) or GoodNites (S-XL, 11-14 ct.)",['huggies pull-ups']
"Save $0.50 on ONE Cascade Dishwasher Detergent, Rinse Aid OR Dishwasher Cleaner (excludes ActionPacs 30 ct or larger and trial/travel size).","['cascade dishwasher detergent', 'rinse aid']"
Save $1.00 on TWO Mr Clean Products (excludes trial/travel size).,['clean products']
Save $1.50 on any ONE (1) package of Huggies®‎LittleSwimmers®‎ Disposable Swimpants (10 ct. or larger),['disposable swimpants']
$.75 OFF Arm  &  Hammer Super Scoop Unscented Cat Litter 14 lbs. - When you clip the Family Dollar Smart Coupon.,"['$ .75', 'super scoop', 'cat litter', 'family dollar smart coupon']"
Save $1.00 on any ONE (1) Meow Mix Dry Product 8.44 lbs or larger,['meow mix dry product']
Save $1.00 on any ONE (1) Kibbles N Bits Dry Product 13 lbs or larger,['kibbles n bits dry product']
Save $2.00 on ONE Dreft Blissfuls In Wash Scent Boosters 8.6 oz or larger (excludes trial/travel size).,"['dreft blissfuls', 'scent boosters']"
Save $2.00 on ONE Dreft Newborn Laundry Detergent 50 oz OR Dreft Active Baby Laundry Detergent 50 oz (excludes trial/travel size).,"['dreft newborn laundry detergent', 'active baby laundry detergent']"
"Save $2.00 on ONE Tide Laundry Detergent 75 oz OR 69 oz (excludes Tide Purclean Laundry Detergent, Studio by Tide Laundry Detergent, Tide PODS, Tide Rescue, Tide Simply, Tide Simply PODS, Tide Detergent 10 oz and trial/travel size).","['tide laundry detergent', 'tide purclean laundry detergent', 'tide laundry detergent', 'tide pods', 'tide rescue', 'tide detergent']"
"Save $2.00 on ONE Tide PODS 31 ct OR 23 ct (excludes Tide Liquid/Powder Laundry Detergent, Tide Simply, Tide Simply PODS, Tide PODS 9 ct and below, and trial/travel size).","['tide pods', 'tide liquid/powder laundry detergent', 'tide pods']"
Save $3.00 on ONE Gillette Disposable 2 ct or larger (excludes Sensor 2 ct and Venus Products).,['venus products']
Save $3.00 on ONE Venus OR Daisy Disposable 2 ct or larger (excludes Daisy 2 ct).,[]
"Save $1.00 on ONE Downy Liquid Fabric Conditioner 48ld to 60ld (Includes Downy Odor Protect 32oz OR Downy Wrinkle Guard 25oz OR Downy Nature Blends 44 oz) OR Bounce/Downy Sheets 70ct to 120ct(Includes Bounce/Downy Wrinkle Guard 40ct to 60ct) OR In Wash Scent Boosters 5.7oz (includes Downy Unstopables, Fresh Protect, Odor Protect, and Infusions) OR Bounce Rapid Touch-up 3 in 1 Spray OR Downy Wrinkle Releaser Spray (excludes Downy Libre Enjuague and trial/travel size)","['downy liquid fabric conditioner 48ld', 'downy odor', 'downy wrinkle guard 25oz', 'downy nature blends', 'bounce/downy sheets 70ct', 'bounce/downy wrinkle guard 40ct', 'scent boosters 5.7oz', 'downy unstopables', 'rapid touch-up', 'downy wrinkle releaser spray', 'downy libre enjuague']"
Save $1.00 on ONE Dreft Blissfuls In Wash Scent Boosters 5.7 oz (excludes trial/travel size).,"['dreft blissfuls', 'scent boosters']"
Save $1.00 on ONE Bounty Paper Towel Product 4 ct or larger (includes Double Plus Roll).,['bounty paper towel product']
Save $0.25 on ONE Puffs Facial Tissues (including Multi-Packs) (excludes Puffs To Go Singles and trial/travel size).,['puffs facial tissues']
Save $1.00 on ONE Charmin Toilet Paper Product 4 ct or larger (excludes single rolls).,['charmin toilet paper product']
Save $1.00 on ONE Prilosec OTC Product.,['prilosec otc product']
"Save $1.00 on ONE Crest Toothpaste 3 oz or more (excludes 4.6 oz Crest Cavity, Regular, Base Baking Soda, Tartar Control/Protection, F & W Pep Gleem, Gum Detoxify and Gum Enamel variants, Whitening Therapy variants, Kids and trial/travel size).","['crest toothpaste', 'oz crest cavity', 'tartar control/protection', 'w pep gleem', 'gum detoxify', 'gum enamel variants', 'therapy variants']"
"Save $1.00 on ONE Oral-B Glide Manual Floss, Floss Picks, Interdental Brush OR Interdental Picks (excludes trial/travel size).","['oral-b glide', 'manual floss', 'interdental brush']"
Save $2.00 on ONE (1) Kingsford®  or Matchlight® Charcoal 8lbs,['matchlight® charcoal 8lbs']
"SAVE $0.40 on any ONE (1) Lipton® TeaBags,K-Cup®, Liquid or Powdered Iced Tea Mix product.","['lipton® teabags', 'tea mix product']"
ONLY On Colgate Optic White Renewal Toothpaste (3.0 oz or larger),"['colgate optic', 'white renewal toothpaste']"
"Save $1.00 off ONE (1) Banana Boat® Sun Care Product (excludes 1 oz., 1.8 oz., 2 oz., lip balm  &  trial sizes)","['banana boat® sun care product', 'lip balm']"
"Save $2.00 on ONE (1) Bag of PULL-UPS® Training Pants (27 ct. or lower, not valid on trial packs)",['pull-ups® training pants']
Save $0.50 on any one (1) pack of Energizer® Batteries,['energizer® batteries']
"Save $1.00 on ONE Gain Flings 12 ct TO 26 ct OR Gain Liquid Laundry Detergent (Includes Gain Botanicals and Gain Essential Oils) OR Gain Powder Laundry Detergent (excludes Gain Ultra Flings, Gain Fabric Enhancers, Gain Fireworks, Gain Flings 9 ct and trial/travel size).","['gain flings', 'gain liquid laundry detergent', 'gain botanicals', 'essential oils', 'gain powder laundry detergent', 'gain ultra flings', 'gain fabric enhancers', 'gain fireworks', 'gain flings']"
"Save $1.00 on ONE Gain Liquid Fabric Softener 48 ld OR Gain Fireworks In Wash Scent Boosters 5.7 oz OR Gain Dryer Sheets 105 ct OR 120 ct (excludes Gain Flings, Gain Detergent and trial/travel size).","['gain liquid fabric softener', 'gain fireworks', 'scent boosters', 'gain dryer sheets', 'gain flings', 'gain detergent']"
"Save $0.50 on ONE (1) Pine-Sol® Product, 40 oz. or Larger",['pine-sol® product']
"Save $1.00 on any ONE (1) BENADRYL® 20ct, 24ct or 4oz product (excludes topical, trial  &  travel sizes)","['benadryl® 20ct', '4oz product']"
"Save $0.55 on any ONE (1) OFF!® Product(Excludes Club Packs, Twin Packs, 2 oz. and 2.5oz. OFF!® Products)","['® product', '® products']"
Save $1.00 on TWO (2) Reese's Standard or King Size bars,"[""reese 's""]"
$2.00 OFF Glacier Ice Auto AC Refrigerant 12 oz. - When you clip the Family Dollar Smart Coupon.,"['glacier ice auto ac refrigerant', 'family dollar smart coupon']"
"Buy TWO (2) Kidgets Jumbo Pack Diapers Sizes Newborn-7, 20-48 ct. For $10 - When you clip the Family Dollar Smart Coupon.","['kidgets jumbo pack diapers s newborn-7', 'family dollar smart coupon']"
Save $2.00 on one (1) 18 lb - 20 lb bag of Purina® Dog Chow® or Purina® Puppy Chow® Dry Food,"['lb bag', 'purina® dog chow®', 'purina® puppy chow® dry food']"
$1.00 OFF Tropic Sun SunScreen Lotion 6 oz. or Spray 5.5-6 oz. - When you clip the Family Dollar Smart Coupon.,"['tropic sun sunscreen lotion', 'spray 5.5-6 oz', 'family dollar smart coupon']"
$1.00 OFF Family Pet Meaty Cuts Dry Dog Food 28 lbs. - When you clip the Family Dollar Smart Coupon.,"['family pet meaty cuts dry dog food', 'family dollar smart coupon']"
"Save $2.00 off ONE (1) Purex® Liquid 128-150oz.,
or 4-in-1 Pacs (45ct)","['purex® liquid 128-150oz.', '4-in-1 pacs']"
Save $2.00 off ONE (1) all® liquid laundry detergent (88oz.) or mighty pacs® (39ct.),"['all® liquid laundry detergent', 'mighty pacs®']"
"Save $1.00 off ONE (1) Snuggle® Liquid Fabric Softener 48.6-50oz., Sheets 105-120 ct. or Scent Shakes™ 9 oz.","['snuggle® liquid fabric softener 48.6-50oz.', 'scent shakes™']"
"Save $1.00 off ONE (1) all® Liquid 54oz., or mighty pacs® 19ct.","['all® liquid 54oz.', 'mighty pacs® 19ct']"
"Save $1.00 on Huggies Pull-Ups (Size 2T-5T, 17-23ct.), Little Snugglers  &  Little Movers (Size Newborn-6, 16-32 ct.) or GoodNites (S-XL, 11-14 ct.)",['huggies pull-ups']
"Save $0.50 on ONE Cascade Dishwasher Detergent, Rinse Aid OR Dishwasher Cleaner (excludes ActionPacs 30 ct or larger and trial/travel size).","['cascade dishwasher detergent', 'rinse aid']"
Save $1.00 on TWO Mr Clean Products (excludes trial/travel size).,['clean products']
Save $1.50 on any ONE (1) package of Huggies®‎LittleSwimmers®‎ Disposable Swimpants (10 ct. or larger),['disposable swimpants']
$.75 OFF Arm  &  Hammer Super Scoop Unscented Cat Litter 14 lbs. - When you clip the Family Dollar Smart Coupon.,"['$ .75', 'super scoop', 'cat litter', 'family dollar smart coupon']"
Save $1.00 on any ONE (1) Meow Mix Dry Product 8.44 lbs or larger,['meow mix dry product']
Save $1.00 on any ONE (1) Kibbles N Bits Dry Product 13 lbs or larger,['kibbles n bits dry product']
Save $2.00 on ONE Dreft Blissfuls In Wash Scent Boosters 8.6 oz or larger (excludes trial/travel size).,"['dreft blissfuls', 'scent boosters']"
Save $2.00 on ONE Dreft Newborn Laundry Detergent 50 oz OR Dreft Active Baby Laundry Detergent 50 oz (excludes trial/travel size).,"['dreft newborn laundry detergent', 'active baby laundry detergent']"
"Save $2.00 on ONE Tide Laundry Detergent 75 oz OR 69 oz (excludes Tide Purclean Laundry Detergent, Studio by Tide Laundry Detergent, Tide PODS, Tide Rescue, Tide Simply, Tide Simply PODS, Tide Detergent 10 oz and trial/travel size).","['tide laundry detergent', 'tide purclean laundry detergent', 'tide laundry detergent', 'tide pods', 'tide rescue', 'tide detergent']"
"Save $2.00 on ONE Tide PODS 31 ct OR 23 ct (excludes Tide Liquid/Powder Laundry Detergent, Tide Simply, Tide Simply PODS, Tide PODS 9 ct and below, and trial/travel size).","['tide pods', 'tide liquid/powder laundry detergent', 'tide pods']"
Save $3.00 on ONE Gillette Disposable 2 ct or larger (excludes Sensor 2 ct and Venus Products).,['venus products']
Save $3.00 on ONE Venus OR Daisy Disposable 2 ct or larger (excludes Daisy 2 ct).,[]
"Save $1.00 on ONE Downy Liquid Fabric Conditioner 48ld to 60ld (Includes Downy Odor Protect 32oz OR Downy Wrinkle Guard 25oz OR Downy Nature Blends 44 oz) OR Bounce/Downy Sheets 70ct to 120ct(Includes Bounce/Downy Wrinkle Guard 40ct to 60ct) OR In Wash Scent Boosters 5.7oz (includes Downy Unstopables, Fresh Protect, Odor Protect, and Infusions) OR Bounce Rapid Touch-up 3 in 1 Spray OR Downy Wrinkle Releaser Spray (excludes Downy Libre Enjuague and trial/travel size)","['downy liquid fabric conditioner 48ld', 'downy odor', 'downy wrinkle guard 25oz', 'downy nature blends', 'bounce/downy sheets 70ct', 'bounce/downy wrinkle guard 40ct', 'scent boosters 5.7oz', 'downy unstopables', 'rapid touch-up', 'downy wrinkle releaser spray', 'downy libre enjuague']"
Save $1.00 on ONE Dreft Blissfuls In Wash Scent Boosters 5.7 oz (excludes trial/travel size).,"['dreft blissfuls', 'scent boosters']"
Save $1.00 on ONE Bounty Paper Towel Product 4 ct or larger (includes Double Plus Roll).,['bounty paper towel product']
Save $0.25 on ONE Puffs Facial Tissues (including Multi-Packs) (excludes Puffs To Go Singles and trial/travel size).,['puffs facial tissues']
Save $1.00 on ONE Charmin Toilet Paper Product 4 ct or larger (excludes single rolls).,['charmin toilet paper product']
Save $1.00 on ONE Prilosec OTC Product.,['prilosec otc product']
"Save $1.00 on ONE Crest Toothpaste 3 oz or more (excludes 4.6 oz Crest Cavity, Regular, Base Baking Soda, Tartar Control/Protection, F & W Pep Gleem, Gum Detoxify and Gum Enamel variants, Whitening Therapy variants, Kids and trial/travel size).","['crest toothpaste', 'oz crest cavity', 'tartar control/protection', 'w pep gleem', 'gum detoxify', 'gum enamel variants', 'therapy variants']"
"Save $1.00 on ONE Oral-B Glide Manual Floss, Floss Picks, Interdental Brush OR Interdental Picks (excludes trial/travel size).","['oral-b glide', 'manual floss', 'interdental brush']"
Save $2.00 on ONE (1) Kingsford®  or Matchlight® Charcoal 8lbs,['matchlight® charcoal 8lbs']
"SAVE $0.40 on any ONE (1) Lipton® TeaBags,K-Cup®, Liquid or Powdered Iced Tea Mix product.","['lipton® teabags', 'tea mix product']"
ONLY On Colgate Optic White Renewal Toothpaste (3.0 oz or larger),"['colgate optic', 'white renewal toothpaste']"
"Save $1.00 off ONE (1) Banana Boat® Sun Care Product (excludes 1 oz., 1.8 oz., 2 oz., lip balm  &  trial sizes)","['banana boat® sun care product', 'lip balm']"
"Save $2.00 on ONE (1) Bag of PULL-UPS® Training Pants (27 ct. or lower, not valid on trial packs)",['pull-ups® training pants']
Save $0.50 on any one (1) pack of Energizer® Batteries,['energizer® batteries']
"Save $1.00 on ONE Gain Flings 12 ct TO 26 ct OR Gain Liquid Laundry Detergent (Includes Gain Botanicals and Gain Essential Oils) OR Gain Powder Laundry Detergent (excludes Gain Ultra Flings, Gain Fabric Enhancers, Gain Fireworks, Gain Flings 9 ct and trial/travel size).","['gain flings', 'gain liquid laundry detergent', 'gain botanicals', 'essential oils', 'gain powder laundry detergent', 'gain ultra flings', 'gain fabric enhancers', 'gain fireworks', 'gain flings']"
