Actual,Prediction
"['shoulders products', 'royal oils', ""men 's styling""]","['Shoulders Products', 'Royal Oils', ""Men's Styling""]"
['nestlé® frozen novelties 4ct'],['Nestlé® Frozen Novelties 4ct']
"['pantene product', 'gold series collection', 'intense rescue shot']","['Pantene Product', 'Gold Series Collection', 'Intense Rescue Shot']"
['all® liquid laundry detergent'],['all® liquid laundry detergent']
['outshine® fruit'],['Outshine® fruit']
['energizer® batteries'],['Energizer® Batteries']
"['cascade dishwasher detergent', 'rinse aid']","['Cascade Dishwasher Detergent', 'Rinse Aid']"
"['herbal essences bio', 'styling products', 'ml shampoo']","['Herbal Essences bio', 'Styling Products', 'mL Shampoo']"
"['air wick®', 'essential mist™ starter kit']","['Air Wick®', 'Essential Mist™']"
"['lb bag', 'dog chow® dry dog food']","['lb bag', 'Dog Chow® Dry Dog Food']"
['cascade actionpacs dishwasher detergent'],['Cascade ActionPacs Dishwasher Detergent']
"[""hershey 's kisses""]","[""HERSHEY'S Kisses""]"
"['lipton® 12pk', '16.9oz bottles', '128oz jug']","['Lipton® 12pk', '16.9oz bottles', '128oz Jug']"
"['pace® salsa', 'picante sauce']","['Pace® Salsa', 'Picante Sauce']"
"['herbal essences shampoo', 'styling products']","['Herbal Essences Shampoo', 'Styling Products']"
"['glade® 3-wick candles', 'twin pack 3.4oz candles', 'oil refill pack', 'large automatic refills', '3.4oz candles', 'oil warmer']","['Twin Pack 3.4oz Candles', 'Oil Refill Pack', 'Large Automatic Refills', 'Oil Warmer']"
['fixodent adhesive'],['Fixodent Adhesive']
"['aussie shampoo', 'styling products']","['Aussie Shampoo', 'Styling Products']"
"['dial® body', 'tone® body', '/ s']","['Dial® Body', 'Tone® Body']"
['snuggle® island exhilarations liquid fabric softener'],['Liquid Fabric Softener']
"['raid® product', 'raid® club']",['Raid® product&nbsp;(excludes Raid® Club']
"['garnier fructis', 'whole blends', 'skinactive product']","['Garnier Fructis', 'Whole Blends', 'SkinActive product']"
"['crest gum detoxify', 'enamel repair']","['Crest Gum Detoxify', 'Enamel Repair']"
"['air wick®', 'essential mist™ refill']","['Air Wick®', 'Essential Mist™ Refill']"
['crest mouthwash'],['Crest Mouthwash']
['aleve®pm product 40ct'],['Aleve®PM product 40ct']
['flavors cesar® wet dog food'],['flavors CESAR® Wet Dog Food']
['pull-ups® training pants'],['PULL-UPS® Training Pants']
['extra® refreshers 40ct bottles'],['EXTRA® REFRESHERS 40CT Bottles']
"[""jack link's® beef jerky""]","[""Jack Link's® Beef Jerky""]"
['hair product'],['Hair Product']
"['schick® hydro silk3®', 'intuition® razor']","['Schick® Hydro', 'Intuition® Razor']"
"['gillette razor', 'venus products']","['Gillette Razor', 'Venus Products']"
['venus razor'],['Venus Razor']
['adult zyrtec® product'],['Adult ZYRTEC® product']
['prilosec otc product'],['Prilosec OTC Product']
"['® product', '® products']","['® Product&nbsp;(Excludes Club', '® Products']"
"['fixodent cleanser tabs', 'fixodent ultra max hold denture adhesive']","['Fixodent Cleanser Tabs', 'Fixodent Ultra Max Hold Denture Adhesive']"
"['benadryl® 20ct', '4oz product']","['BENADRYL® 20ct', '4oz product']"
['osteo bi-flex® product'],['Osteo Bi-Flex® product']
['colgate® optic white® renewal toothpaste'],['Colgate® Optic White® Renewal Toothpaste']
"['pantene pro-v ingredients', 'rescue shots products', 'gold series collection', 'intense rescue shot']","['Pantene Pro-V Ingredients', 'Rescue Shots Products', 'Gold Series Collection', 'Intense Rescue Shot']"
"['allegra® allergy 24ct', ""children 's allegra® product""]","['Allegra® Allergy 24ct', ""Children's Allegra® Product""]"
['nexium® 24hr 28ct'],['Nexium® 24HR 28ct']
['bridgford sweet baby ray ’ s sausage sticks 6oz'],['Sweet Baby Ray’s Sausage Sticks 6oz']
['nivea® body'],['NIVEA® Body']
"[""children 's claritin® syrup 4oz""]","[""Children's Claritin® Syrup 4oz""]"
[],[]
[],[]
"['banana boat®', 'hawaiian tropic® sun care product', 'lip balm']","['Banana Boat®', 'Hawaiian Tropic® Sun Care Product', 'lip balm']"
['claritin® 20ct'],['Claritin® 20ct']
"['multipack sheba®', 'perfect portions™ premium cat food']","['multipack SHEBA®', 'PERFECT PORTIONS™ Premium Cat Food']"
"['automatic dishwasher detergent max', '1® 24ct']","['Automatic Dishwasher Detergent Max', '1® 24ct']"
['special care oral rinse'],['Special Care Oral Rinse']
['maxwell house'],['MAXWELL HOUSE']
"['new kingsford® wood pellets', 'classic blend']","['NEW Kingsford® Wood Pellets', 'Classic Blend']"
['degree products'],['Degree products']
['quaker products'],['Quaker Products']
['oz.tresemmé® product'],['TRESemmé® product']
['dgh auto spray refills twin'],['DGH Auto Spray Refills Twin']
['bayer consumer health products'],['Bayer Consumer Health Products']
"['sour patch kids', 'swedish fish candy', 'crush soda', 'crush soda']","['SOUR PATCH KIDS', 'SWEDISH FISH Candy', 'Crush Soda']"
['reese ’ s brand candy'],['REESE’S brand candy']
[],[]
['new axe product'],['NEW AXE product']
"['chips ahoy', '9.5-19.5 oz', 'sour patch kids candy', 'sour patch kids chips ahoy']","['CHIPS AHOY', '9.5-19.5 oz', 'SOUR PATCH KIDS Candy', 'SOUR PATCH KIDS CHIPS AHOY']"
['suave® products'],['Suave® products']
